Programme;Nom;Muscle;Seances;Total;Dans toutes les seances
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Mollets;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/3j;Full Body — Hypertrophie (3j);Abdominaux;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary/4j;Full Body — Hypertrophie (4j);Abdominaux;4;4;OUI
intermediate/full_gym/hypertrophy:full_body:primary/5j;Full Body — Hypertrophie (5j);Abdominaux;5;5;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Quadriceps;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Pectoraux;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Dos;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Ischio-jambiers;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Épaules;3;3;OUI
intermediate/full_gym/hypertrophy:full_body:primary+strength:lower_body:secondary/3j;Full Body — Hypertrophie & Force Bas (3j);Fessiers;3;3;OUI
